Task,MTL_GNN_BALANCED,MTL_GNN,STL_GNN,XGBoost
hia_hou,0.9853499728703201,0.9848073792729246,0.9679869777536624,0.9137276180141076
pgp_broccatelli,0.9114425855002352,0.921050863401196,0.8974669085533831,0.8987435328898744
bbb_martins,0.8938287032586754,0.8775833894069018,0.8741869332564325,0.8129866384696721
cyp2c19_veith,0.8873128895193025,0.8988492509304531,0.8861765758075956,0.7726666499300199
cyp2d6_veith,0.8457646758882975,0.8694318460641935,0.834733798248708,0.7382071493198791
cyp3a4_veith,0.8817853563268466,0.9021540641394432,0.8659801999548056,0.7746067032972253
cyp1a2_veith,0.9261043542858302,0.9353018133138616,0.9284099782970264,0.8463823729260476
cyp2c9_veith,0.888211573014575,0.909960514088094,0.8633658399136823,0.8044588307252473
herg,0.7973098330241187,0.8119975262832405,0.8625541125541125,0.7493815708101422
dili,0.87677304964539,0.8342198581560284,0.8745567375886525,0.7952127659574468
skin_reaction,0.6677295918367346,0.6741071428571428,0.701530612244898,0.7433035714285715
ames,0.8579332068773758,0.8748276466241592,0.8645854758476739,0.788877589109552
clintox,0.9283854166666666,0.8985140931372548,0.9141390931372548,0.8779871323529411
