Task,MTL_GNN_GROUPED,MTL_GNN,STL_GNN,XGBoost
hia_hou,0.9696147585458492,0.9690721649484536,0.9826370048833424,0.9875203472599025
pgp_broccatelli,0.9083518107908352,0.9208492911375394,0.8921588389437614,0.9328092454478264
bbb_martins,0.8486814700887564,0.8800506264218655,0.8296484988304655,0.8943413758851614
cyp2c19_veith,0.9018536882339281,0.8839365848453848,0.8869720895494284,0.8890718064908901
cyp2d6_veith,0.8631319104724806,0.8407509891272676,0.8424397897529483,0.8579869151497491
cyp3a4_veith,0.900756837014372,0.8733287053153669,0.8881465059482245,0.8792460538003696
cyp1a2_veith,0.9350783817086528,0.9121470097561966,0.9259024735304856,0.9311833825199788
cyp2c9_veith,0.9059622887015008,0.8878847509241506,0.8747683419353214,0.8877839553261692
herg,0.8455473098330242,0.8022572665429808,0.8371985157699443,0.8211193568336426
dili,0.8479609929078015,0.8125,0.7921099290780143,0.8803191489361702
skin_reaction,0.7442602040816326,0.6823979591836734,0.7008928571428572,0.7882653061224489
ames,0.8882864455972759,0.8467292852191269,0.8596529317214008,0.8963575351753242
clintox,0.8603707107843137,0.8880208333333333,0.9103860294117648,0.9139859068627452
