Task,MTL_GNN_CROSS,MTL_GNN,STL_GNN,XGBoost
hia_hou,0.9788388497015735,0.9810092240911557,0.9826370048833424,0.9864351600651112
pgp_broccatelli,0.9217899617012699,0.9343546328025264,0.9045891285359136,0.93415306053887
bbb_martins,0.873898554904034,0.8768944855650614,0.8649588259796853,0.9007818257553912
cyp2c19_veith,0.880978591736699,0.9072572192479806,0.8845598157295189,0.8912998725922764
cyp2d6_veith,0.8474477257740496,0.8690944693217195,0.8402540293517766,0.865360322194789
cyp3a4_veith,0.8788925058002908,0.8984163628257511,0.8891705058179343,0.8888773527737233
cyp1a2_veith,0.920715057198491,0.9386421950427974,0.9261138620137116,0.9344603793963734
cyp2c9_veith,0.8807534623669708,0.907104638811956,0.8770194436235711,0.8985797747523827
herg,0.8653370439084724,0.8186456400742115,0.806895485466914,0.8161719233147805
dili,0.8710106382978724,0.8457446808510639,0.8218085106382979,0.864804964539007
skin_reaction,0.6932397959183674,0.7123724489795918,0.6345663265306122,0.7551020408163265
ames,0.8512371353916706,0.878914611757357,0.8569676470812289,0.8930437796619207
clintox,0.9233302696078431,0.903952205882353,0.9066329656862744,0.9225643382352942
